ID_PAIS;COPAISINF;NM_PAIS
220;220;Ilhas Georgia do Sul e Ilhas Sandwich do Sul
227;227;Ilhas Santa Helena
228;228;Toquelau, Ilhas
230;230;Servia
238;238;Saara Ocidental
241;241;Vaticano, Estado da Cidade do
208;208;Aruba
213;213;Hong Kong
214;214;Ilha Christmas (Navidad)
223;223;Ilhas Virgens Americanas
224;224;Ilhas Virgens Britanicas
221;221;Ilhas Svalbard e Jan Mayen
222;222;Turcas e Caicos, Ilhas
229;229;Ilhas Wallis e Futuna
232;232;Macau
233;233;Martinica
234;234;Mayotte, Ilha
235;235;Montserrat
236;236;Nova Caledonia
211;211;Groenlandia
215;215;Norfolk, Ilha
216;216;Ilhas Cayman
219;219;Ilhas Faroe
226;226;Ilhas Reuniao
240;240;Sao Pedro e Miquelon
480;480;Congo, Republica Democratica do (Zaire)
231;231;Montenegro
2;2;Gabao
3;3;Georgia
4;4;Iemen
5;5;Libia
6;6;Marrocos
7;7;Peru
8;8;Seychelles
9;9;Suíça
10;10;Turcomenistao, Republica do
11;11;Somalia
12;12;Barbados
13;13;Camboja (Kampuchea)
14;14;Cazaquistao, Republica do
15;15;Guine
16;16;Iraque
17;17;Irlanda
18;18;Islandia
19;19;Italia
20;20;Liechtenstein
21;21;Mexico
22;22;Moçambique
23;23;Suecia
24;24;Noruega
25;25;Polonia
26;26;Republica Tcheca
27;27;Santa Lucia
28;28;Sudao
29;29;Taiwan (Formosa, Republica da China)
30;30;Uzbequistao
31;31;Angola, Republica de
32;32;Argentina
33;33;Brunei
34;34;Coreia, Republica da (Coreia do Sul)
35;35;Luxemburgo
36;36;Maldivas
37;37;Paises Baixos (Holanda)
38;38;Reino Unido
39;39;Ucrania
40;40;Vietna
41;41;Alemanha
42;42;Antigua e Barbuda
43;43;Belgica
44;44;Espanha
45;45;Estados Unidos da America
46;46;Franca
47;47;Kuwait, Estado do (Coveite)
48;48;Romenia
49;49;Russia, Federação da
50;50;Siria, Republica Arabe da
51;51;Zaire
54;54;Israel
55;55;Japao
56;56;Monaco, Principado
57;57;Porto Rico
58;58;Guadalupe
59;59;Antilhas Holandesas
60;60;Djibuti
62;62;Myanmar
63;63;Nauru
64;64;Tuvalu
65;65;Albania, Republica da
66;66;Argelia
67;67;Belize
68;68;Bolivia
69;69;Botsuana
70;70;Eritreia
71;71;Equador
72;72;Honduras
73;73;Laos, Republica Democratica Popular
74;74;Lesoto
75;75;Libano
76;76;Liberia
77;77;Mali
78;78;Mongolia
79;79;Namibia
80;80;Niue, Ilha
1;1;Brasil
81;81;Quirguistao
82;82;Quiribati
83;83;Suazilandia
84;84;Suriname
85;85;Tadjiquistao, Republica do
86;86;Tanzania, Republica Unida da
88;88;Togo
89;89;Tonga
90;90;Trinidad e Tobago
91;91;Tunisia
92;92;Australia
93;93;Ilhas Bahrein
94;94;Bielorussia
95;95;Cabo Verde, Republica de
96;96;Canada
97;97;Catar
98;98;Chade
99;99;Chipre
100;100;Costa Rica
101;101;Dominica
102;102;Egito
103;103;El Salvador
104;104;Eslovaquia
105;105;Estonia, Republica da
106;106;Fiji
107;107;Filipinas
108;108;Gambia
110;110;Guatemala
111;111;Guiana Francesa
112;112;Guine-Bissau
113;113;Guine Equatorial
114;114;Haiti
115;115;Ilhas Marshal
116;116;Ira, Republica Islamica do
118;118;Lituania, Republica da
120;120;Malaui
121;121;Mauritania
122;122;Moldavia, Republica da
123;123;Nepal
124;124;Panama
126;126;Paraguai
127;127;Quenia
128;128;Republica Centro-Africana
129;129;Republica Dominicana
131;131;Samoa, Estado Independente de (Samoa Ocidental)
132;132;San Marino
133;133;Senegal
134;134;Serra Leoa
135;135;Sri Lanka
136;136;Turquia, Republica da
137;137;Uruguai
138;138;Venezuela
139;139;Zimbabue
140;140;Africa do Sul
141;141;Arabia Saudita
142;142;Armenia, Republica da
143;143;Austria
144;144;Azerbaijao, Republica do
145;145;Bangladesh
146;146;Benin
147;147;Bosnia-Herzegovina, Republica da
149;149;Burkina Faso
150;150;Burundi
151;151;Colombia
152;152;Camaroes
153;153;Congo, Republica do (Brazzaville)
154;154;Costa do Marfim
155;155;Croacia
156;156;Cuba
157;157;Emirados Arabes Unidos
158;158;Eslovenia
159;159;Etiopia
160;160;Finlandia
161;161;Granada
162;162;Grecia
163;163;Hungria, Republica da
164;164;India
165;165;Indonesia
166;166;Jamaica
167;167;Jordania
